code_id,code
1,"rdi.smartVec().vecEditMode(TA::VECD);

RDI_BEGIN();
rdi.smartVec()
    .label(""sLabel"").copyLabel(false).pin(A)
    .writeData(""rt"", 8, 0)
    .execute();

rdi.smartVec()
    .label(""sLabel"").copyLabel(false).pin(A)
    .writeData(""rt"", 8, 8)
    .execute); // 
RDI_END();"
2,"rdi.smartVec().vecEditMode(TA::VECD);

RDI_BEGIN();
rdi.smartVec()
    .label(""sLabel"").copyLabel(false).pin(A)
    .writeData(""rt"", 8, 0)
    .execute();

rdi.smartVec()
    .label(""sLabel"",).copyLabel(false).pin(A)
    .writeData(""rt"", 8, 8)
    .execute(); // 
RDI_END();"
3,"rdi.smartVec().vecEditMode(TA::VECD);

RDI_BEGIN();
rdi.smartVec(,)
    .label(""sLabel"").copyLabel(false).pin(A)
    .writeData(""rt"", 8, 0)
    .execute();

rdi.smartVec()
    .label(""sLabel"").copyLabel(false).pin(A)
    .writeData(""rt"", 8, 8)
    .execute(); // 
RDI_END();"
4,"RDI_BEGIN();
rdi.port(""pt1"").dc().pin(""dig2"").vForce(1 uA).burst();
rdi.port(TA::MULTI_PORT).func().burst(""MPBurst2"").burst(); // n
rdi.port(""pt2"",).digCap().pin(""dig1"").samples(8).execute();
rdi.port(TA::MULTI_PORT).func().burst(""MPBurst1"").burst();
RDI_END();"
5,"RDI_BEGIN();
rdi.port(""pt1"").dc().pin(""dig2"").vForce(1 uA).burst();
rdi.port(TA::MULTI_PORT).func().burst(""MPBurst2"").burst(); // n
rdi.port(""pt2"").digCap().pin(""dig1"").samples(8).execute();
rdi.port(TA::MULTI_PORT).func().burst(""MPBurst1"").burst();
RDI_END()"
6,"RDI_BEGIN();
rdi.port(""pt1"",).dc().pin(""dig2"").vForce(1 uA).burst();
rdi.port(TA::MULTI_PORT).func().burst(""MPBurst2"").burst(); // n
rdi.port(""pt2"").digCap().pin(""dig1"").samples(8).execute();
rdi.port(TA::MULTI_PORT).func().burst(""MPBurst1"").burst();
RDI_END();"
7,"ARRAY_I write_data(2); // Define a variable for a dual-site test
write_data[0]=0x1;
write_data[1]=0x2;
rdi.runTimeVal(""data"",write_data); // Site data array
RDI_END();
rdi.protocol(,).pname(""i2c"").write(0x4,""data"").execute();
RDI_BEGIN();"
8,"ARRAY_I write_data(2); // Define a variable for a dual-site test
write_data[0]=0x1;
write_data[1]=0x2;
rdi.runTimeVal(""data"",write_data); // Site data array
RDI_END(,);
rdi.protocol().pname(""i2c"").write(0x4,""data"").execute();
RDI_BEGIN();"
9,"ARRAY_I write_data(2); // Define a variable for a dual-site test
write_data[0]=0x1;
write_data[1]=0x2;
rdi.runTimeVal(""data"",write_data); // Site data array
RDI_END();
rdi.protocol).pname(""i2c"").write(0x4,""data"").execute();
RDI_BEGIN();"
10,"RDI_BEGIN(,);
rdi.pmux(4).module(""02"").readHumanSeniority().execute();
RDI_END();
int hum = rdi.id(4).getHumanSeniority(""02"");"
11,"RDI_BEGIN()
rdi.pmux(4).module(""02"").readHumanSeniority().execute();
RDI_END();
int hum = rdi.id(4).getHumanSeniority(""02"");"
12,"RDI_BEGIN();
rdi.pmux(4).module(""02"").readHumanSeniority().execute();
RDI_END();
int hum = rdi.id(4,).getHumanSeniority(""02"");"
13,"anaWaveform wav1(""wav1""), wav2(""wav2""), wav3(""wav3"");
RDI_BEGIN();
rdi.dc().pin(""Pin1"").vForce().waveform(wav1)
  .addWaveform(wav2)
  .addWaveformwav3, 2)      // Add ""wav3"" twice
  .FS(250 /* kHz */).execute();
rdi.dc().pin(""Pin2"").vForce().waveform(wav1).repeat(2)
  .iMeas()                   
  .addWaveform(wav2, 3)      // Add ""wav2"" three times (group 2..4)
  .FS(250 /* kHz */).read();
RDI_END();"
14,"anaWaveform wav1(""wav1""), wav2(""wav2""), wav3(""wav3"");
RDI_BEGIN();
rdi.dc().pin(""Pin1"").vForce().waveform(wav1)
  .addWaveform(wav2)
  .addWaveform(wav3, 2)      // Add ""wav3"" twice
  .FS(250 /* kHz */).execute();
rdi.dc().pin(""Pin2"").vForce().waveform(wav1).repeat(2)
  .iMeas(,)                   
  .addWaveform(wav2, 3)      // Add ""wav2"" three times (group 2..4)
  .FS(250 /* kHz */).read();
RDI_END();"
15,"anaWaveform wav1(""wav1""), wav2(""wav2""), wav3(""wav3"");
RDI_BEGIN(,);
rdi.dc().pin(""Pin1"").vForce().waveform(wav1)
  .addWaveform(wav2)
  .addWaveform(wav3, 2)      // Add ""wav3"" twice
  .FS(250 /* kHz */).execute();
rdi.dc().pin(""Pin2"").vForce().waveform(wav1).repeat(2)
  .iMeas()                   
  .addWaveform(wav2, 3)      // Add ""wav2"" three times (group 2..4)
  .FS(250 /* kHz */).read();
RDI_END();"
